plan_id,idx,x,y
0,0,5.5000,5.5000
0,1,6.5000,6.5000
0,2,7.5000,7.5000
0,3,8.5000,8.5000
0,4,9.5000,9.5000
0,5,10.5000,10.5000
0,6,11.5000,11.5000
0,7,12.5000,12.5000
0,8,13.5000,13.5000
0,9,14.5000,14.5000
0,10,15.5000,15.5000
0,11,16.5000,15.5000
0,12,17.5000,15.5000
0,13,18.5000,15.5000
0,14,19.5000,15.5000
0,15,20.5000,15.5000
0,16,21.5000,15.5000
0,17,22.5000,15.5000
0,18,23.5000,15.5000
0,19,24.5000,15.5000
0,20,25.5000,15.5000
0,21,26.5000,15.5000
0,22,27.5000,15.5000
0,23,28.5000,15.5000
0,24,29.5000,15.5000
0,25,30.5000,15.5000
0,26,31.5000,15.5000
0,27,32.5000,15.5000
0,28,33.5000,15.5000
0,29,34.5000,16.5000
0,30,35.5000,17.5000
0,31,36.5000,18.5000
0,32,37.5000,19.5000
0,33,38.5000,20.5000
0,34,39.5000,21.5000
0,35,40.5000,22.5000
0,36,41.5000,23.5000
0,37,42.5000,24.5000
0,38,43.5000,25.5000
0,39,44.5000,26.5000
0,40,45.5000,27.5000
0,41,46.5000,28.5000
0,42,47.5000,29.5000
0,43,48.5000,30.5000
0,44,49.5000,31.5000
0,45,50.5000,32.5000
0,46,51.5000,33.5000
0,47,52.5000,34.5000
0,48,53.5000,35.5000
0,49,54.5000,36.5000
0,50,55.5000,37.5000
0,51,56.5000,38.5000
0,52,57.5000,39.5000
0,53,58.5000,40.5000
0,54,59.5000,41.5000
0,55,60.5000,42.5000
0,56,61.5000,43.5000
0,57,62.5000,44.5000
0,58,63.5000,45.5000
0,59,64.5000,46.5000
0,60,65.5000,47.5000
0,61,66.5000,48.5000
0,62,67.5000,49.5000
0,63,68.5000,50.5000
0,64,69.5000,51.5000
0,65,70.5000,51.5000
0,66,71.5000,52.5000
0,67,72.5000,52.5000
1,0,30.5000,30.5000
2,0,30.5000,30.5000
2,1,31.5000,30.5000
2,2,32.5000,30.5000
2,3,33.5000,30.5000
2,4,34.5000,30.5000
2,5,35.5000,30.5000
2,6,36.5000,30.5000
2,7,37.5000,30.5000
2,8,38.5000,30.5000
2,9,39.5000,30.5000
2,10,40.5000,30.5000
2,11,41.5000,30.5000
2,12,42.5000,30.5000
2,13,43.5000,30.5000
2,14,44.5000,30.5000
2,15,45.5000,30.5000
2,16,46.5000,30.5000
2,17,47.5000,30.5000
2,18,48.5000,30.5000
2,19,49.5000,30.5000
2,20,50.5000,30.5000
2,21,51.5000,30.5000
2,22,52.5000,30.5000
2,23,53.5000,30.5000
2,24,54.5000,30.5000
3,0,51.5000,30.5000
3,1,52.5000,31.5000
3,2,53.5000,32.5000
3,3,54.5000,33.5000
3,4,55.5000,34.5000
3,5,56.5000,35.5000
3,6,57.5000,36.5000
3,7,58.5000,37.5000
3,8,59.5000,38.5000
3,9,60.5000,39.5000
3,10,61.5000,40.5000
3,11,62.5000,41.5000
3,12,63.5000,42.5000
3,13,64.5000,43.5000
3,14,65.5000,44.5000
3,15,66.5000,45.5000
3,16,67.5000,46.5000
3,17,68.5000,47.5000
3,18,69.5000,48.5000
3,19,70.5000,49.5000
3,20,71.5000,50.5000
3,21,72.5000,51.5000
3,22,72.5000,52.5000
